date,open,high,low,close,volume,adj_close,returns,log_returns,volatility
2022-11-22,15781.29,16315.0,15616.63,16226.94,239548.06623,16226.94,,,
2022-11-23,16227.96,16706.0,16160.2,16603.11,264927.70408,16603.11,0.023181819862524877,0.02291720320295262,
2022-11-24,16603.11,16812.63,16458.05,16598.95,206565.92346,16598.95,-0.00025055546822250196,-0.00025058686248794284,
2022-11-25,16599.55,16666.0,16342.81,16522.14,182089.49533,16522.14,-0.004627401130794517,-0.004638140695062483,
2022-11-26,16521.35,16701.99,16385.0,16458.57,181804.81666,16458.57,-0.0038475645406708114,-0.003854985458206651,
2022-11-27,16457.61,16600.0,16401.0,16428.78,162025.47607,16428.78,-0.0018099992891241756,-0.0018116393171025897,
2022-11-28,16428.77,16487.04,15995.27,16212.91,252695.40367,16212.91,-0.013139746225830473,-0.013226836427965193,
2022-11-29,16212.18,16548.71,16100.0,16442.53,248106.25009,16442.53,0.014162787556336154,0.014063432280211978,0.012406293708937605
2022-11-30,16442.91,17249.0,16428.3,17163.64,303019.80719,17163.64,0.0438563894972368,0.042921922045645745,0.019007346186023226
2022-12-01,17165.53,17324.0,16855.01,16977.37,232818.18218,16977.37,-0.010852593039704872,-0.010911911994265286,0.01988871803855412
2022-12-02,16978.0,17105.73,16787.85,17092.74,202372.2062,17092.74,0.0067955166200655,0.006772531170246441,0.019587437593674033
2022-12-03,17092.13,17188.98,16858.74,16885.2,154542.57306,16885.2,-0.01214199712860553,-0.012216313353321956,0.020445607649109503
2022-12-04,16885.2,17202.84,16878.25,17105.7,178619.13387,17105.7,0.013058773363655796,0.012974242698661298,0.020533138136040994
2022-12-05,17106.65,17424.25,16867.0,16966.35,233703.29225,16966.35,-0.00814640733790506,-0.008179770631694087,0.019833724563048733
2022-12-06,16966.35,17107.01,16906.37,17088.96,218730.76883,17088.96,0.007226657471996134,0.007200670308000258,0.019568848984860603
2022-12-07,17088.96,17142.21,16678.83,16836.64,220657.41334,16836.64,-0.014765088103664614,-0.014875177009226765,0.011312878271015223
2022-12-08,16836.64,17299.0,16733.49,17224.1,236417.97804,17224.1,0.023012905187733468,0.022752101931693153,0.014130421102469285
2022-12-09,17224.1,17360.0,17058.21,17128.56,238422.06465,17128.56,-0.005546879082216072,-0.005562320142259912,0.014223676431612858
2022-12-10,17128.56,17227.72,17092.0,17127.49,140573.97937,17127.49,-6.246876561721848e-05,-6.247071687181942e-05,0.013142153342878478
2022-12-11,17127.49,17270.99,17071.0,17085.05,155286.47871,17085.05,-0.0024778878866665854,-0.0024809629316508166,0.012267976789632491
